# Undirected graph: ../../data/output/dblp.ungraph.txt
# DBLP
# Nodes: 317080 Edges: 1049866
# FromNodeId	ToNodeId
0	1
0	2
0	4519
0	23073
0	33043
0	33971
0	75503
0	101215
0	120044
0	123880
0	124002
0	206567
0	274042
0	369692
0	411025
0	413808
1	2
1	5915
1	7741
1	7852
1	7979
1	8085
1	8086
1	9335
1	10971
1	12238
1	13090
1	13419
1	13811
1	14662
1	15004
1	15432
1	16259
1	16408
1	16803
1	17411
1	18035
1	21502
1	22970
1	27021
1	27466
1	28995
1	29998
1	31096
1	33126
1	33762
1	35156
1	36918
1	37774
1	40548
1	44446
1	44725
1	46588
1	47489
1	49063
1	49144
1	56260
1	58164
1	58212
1	63386
1	66243
1	66305
1	66668
1	67191
1	73133
1	74815
1	75213
1	77551
1	78424
1	81806
1	83059
1	84042
1	84805
1	85126
1	86291
1	90680
1	92739
1	92740
1	93377
1	95874
1	97590
1	97591
1	97758
1	103133
1	110696
1	113230
1	115324
1	122675
1	159465
1	162643
1	164373
1	166307
1	173255
1	173256
1	179100
1	193261
1	194924
1	198462
1	223322
1	229958
1	248344
1	253221
1	255383
1	268421
1	321570
1	321680
2	6786
2	10077
2	16803
2	23595
2	33043
2	33126
2	37678
2	44724
2	54787
2	65297
2	66305
2	75213
2	75502
2	75503
2	79494
2	84203
2	93250
2	97758
2	108350
2	108790
2	127771
2	139006
2	157374
2	189316
3	10816
3	15821
3	18373
3	21946
3	22531
3	22955
3	34140
3	56565
3	58183
3	59273
3	71407
3	117331
4	11
10	53
10	61
10	368
10	369
10	3514
10	3641
11	35
11	105
21	22378
21	90421
27	138
27	264
29	348
29	364
29	3890
35	39
61	274
61	426
61	2527
61	25670
61	33969
61	45116
61	48574
61	55007
61	57571
61	63075
61	72070
61	76853
61	80747
61	88279
61	93348
61	101353
61	114328
61	116767
61	126396
61	171891
61	181660
61	197599
61	209324
61	216914
61	219689
61	220214
61	237232
61	243226
61	253789
61	266105
61	303921
61	304290
61	337539
61	345810
61	381075
61	381076
61	381077
61	382755
61	384513
61	384514
61	388674
61	394196
61	403092
61	415601
61	415819
69	29902
69	77105
69	127052
69	129843
69	129844
69	129845
69	129846
69	129847
69	140711
69	152729
69	173384
69	334133
69	356896
70	11934
70	12467
70	17356
70	27035
70	27502
70	46490
72	98
72	58963
74	94
74	102
74	206
75	2335
75	19952
75	19953
75	22485
75	22486
75	25232
75	31020
83	2835
83	2851
83	3019
83	3086
83	8761
83	10823
83	11302
83	25458
83	25850
83	40922
83	46212
83	57500
83	57917
83	60078
83	84050
83	90211
83	93474
83	94711
83	100446
83	107759
83	109031
83	109620
83	124987
83	158877
83	166063
83	237087
83	237088
94	102
94	2288
94	2503
96	138
96	1783
96	2122
96	2123
96	6172
96	6294
96	7656
96	11188
96	19970
96	55032
96	71596
96	81838
99	6734
99	19158
99	31299
99	31301
99	32740
99	37349
99	64469
105	437
105	10155
105	10244
108	1732
108	2841
118	3637
118	4810
120	1332
120	3566
122	304
122	1306
122	1307
122	2675
122	2825
122	5650
122	15214
122	44079
122	84498
123	294
134	265
134	473
134	474
134	703
134	1182
135	672
136	280
136	1958
136	2815
136	3768
136	3881
136	4403
136	5911
136	5965
136	7171
136	7857
136	13275
136	15442
136	23670
136	23671
136	24676
136	44735
136	293908
136	294499
138	232
138	354
138	407
138	426
138	711
138	834
138	1819
138	8880
138	11505
138	16455
139	153
139	154
139	1920
139	21962
139	22298
142	2017
142	9794
142	17240
142	24663
142	26051
142	26270
142	54826
142	70143
142	96331
142	124043
147	188
147	353
147	354
147	386
147	414
147	496
147	633
147	742
147	743
147	744
147	833
147	849
147	1127
148	149
148	214
148	215
148	235
148	354
148	624
148	671
148	1062
148	5473
148	5717
148	5740
148	16022
149	300
149	354
149	477
152	336
153	154
153	1920
153	21962
153	22298
154	553
154	573
154	16651
154	17621
154	76216
154	76957
154	85936
156	1810
156	19364
156	20708
156	48019
158	159
158	22479
159	211570
159	212702
172	183
172	184
172	54269
172	199594
178	260
178	632
178	943
178	976
178	2097
178	2195
178	3176
178	3302
178	3303
178	3304
178	3305
178	3306
178	6249
178	95284
178	133455
178	133760
178	136465
178	150818
178	238395
178	238396
178	238397
181	548
181	621
183	184
187	8285
187	47917
188	353
188	354
188	386
188	414
188	496
188	633
188	742
188	743
188	744
188	833
188	849
188	1127
189	200
189	7634
189	15943
189	106999
189	108963
198	3353
198	3354
198	3355
200	368
200	5735
200	14978
200	16086
200	16486
200	37492
200	45747
200	64751
200	140665
200	140666
200	143138
200	174163
214	215
214	235
215	235
216	217
216	218
217	23399
217	29073
217	39231
217	39237
217	40365
217	50869
217	52471
217	54809
217	66339
217	66340
217	71372
217	93177
217	143204
217	143937
217	146019
217	162492
217	162493
217	162494
217	162495
217	177636
217	195464
217	226177
217	230693
217	257274
217	264371
217	266483
217	288201
217	292309
217	295534
217	295535
217	363044
217	411890
217	411891
218	303
221	1817
221	1818
223	676
223	1716
223	2485
232	251
232	407
236	237
236	4563
236	4564
236	135913
238	239
238	240
238	35265
238	45245
238	46697
238	47335
238	47336
238	47337
238	47338
238	47339
238	47340
238	47341
238	47342
238	49941
239	240
247	286
247	351
247	352
247	353
247	403
247	449
255	326
255	16382
255	111349
255	114471
255	120232
255	123450
255	172151
255	368588
257	13262
257	43124
257	52521
257	81348
257	89630
257	102993
257	102994
257	102995
257	107145
257	111392
257	298058
257	321492
257	324558
257	324559
257	355359
258	368
258	2431
258	4260
258	4326
258	5499
259	260
259	371
259	405
260	632
260	873
260	943
260	976
260	1524
260	2097
260	2195
260	3302
260	3303
260	3304
260	3305
260	3306
260	4966
260	12539
260	15802
260	23340
260	25272
265	266
265	473
265	474
268	313
268	314
268	2952
268	3883
268	5193
268	5373
269	750
269	2300
269	2675
269	4059
269	5120
269	5295
269	6336
269	6734
269	7433
269	7494
269	8479
269	9210
269	10095
269	10510
269	11705
269	12003
269	13034
269	14753
269	19134
269	19521
269	19904
269	20551
269	20623
269	21592
269	21656
269	26600
269	26601
269	29313
269	30877
269	32476
269	35917
269	36550
269	48537
269	58209
269	83825
269	93771
269	103809
269	111566
269	126648
269	146954
269	193213
269	218773
269	251517
269	298239
270	483
270	485
270	654
270	1232
270	2698
271	272
271	273
272	273
273	5107
273	24762
273	27829
273	41661
273	59804
273	83925
273	99544
273	99545
273	99546
273	101067
274	407
275	22434
275	22662
275	28488
275	29107
276	277
276	354
276	499
276	701
276	759
276	2133
276	2409
276	2489
276	2490
276	4995
281	282
281	323
281	139158
282	323
287	288
287	51351
288	26004
293	294
294	2191
294	9855
294	25576
294	29251
294	188663
304	1993
304	2288
304	2294
304	3408
304	8572
304	10360
305	1968
305	2908
305	13734
305	16972
305	37550
305	40827
305	79974
309	318
309	319
309	320
309	321
313	314
315	21633
315	40078
315	44065
318	319
318	320
318	321
318	957
318	4896
318	4897
318	7144
318	7877
319	320
319	321
320	321
324	333
324	1491
324	15957
324	17466
324	51415
324	51416
