ETM,DRI,Spearman_Correlation,P_value,F1@1%,F1@5%,F1@10%
ADT,Degree (Out),0.3540203693749827,0.0,0.0,0.004359673024523161,0.0776566757493188
ADT,K-Core,0.3701896922278469,0.0,0.0,0.005449591280653951,0.09100817438692098
ADT,Eigenvector,0.6349106264391189,0.0,0.0,0.007084468664850136,0.13760217983651227
ADT,Closeness,0.6267580738227576,0.0,0.0,0.006539509536784742,0.13732970027247957
ADT,CI (l=2),0.598582899135651,0.0,0.0,0.004904632152588556,0.09509536784741145
ADT,SD_ego (r=1),0.09377810191365757,1.865176646713884e-72,0.0,0.01907356948228883,0.09264305177111716
ADT,FwLTR_struct,0.4913929273680734,0.0,0.0,0.012534059945504087,0.09863760217983651
ADT,BPI-DRI,0.092730546967861,7.011763891142371e-71,0.0,0.04087193460490463,0.08474114441416894
ADT,LocFiedler (k=1),-0.19340425471833936,4.0184604476787134e-306,0.0544959128065395,0.16839237057220707,0.2471389645776567
ADT,GlobFiedlerComp,0.36909784849740324,0.0,0.0,0.004359673024523161,0.0768392370572207
ADT,LocSpecRadius (k=1),0.3494783523664728,0.0,0.0,0.005449591280653951,0.08528610354223433
ADT,PPR-API,0.5165567094644533,0.0,0.0,0.011989100817438692,0.10190735694822889
ADT,WMFS_Simple,0.3666088964184386,0.0,0.0,0.005449591280653951,0.0893732970027248
ADT,WMFS_Advanced,0.5647537812249476,0.0,0.0,0.005449591280653951,0.10871934604904632
MCSS,Degree (Out),0.3909842755503993,0.0,0.0,0.008174386920980926,0.09754768392370572
MCSS,K-Core,0.4039513533250888,0.0,0.0,0.009264305177111716,0.1119891008174387
MCSS,Eigenvector,0.6481612205617443,0.0,0.0,0.010354223433242507,0.15885558583106266
MCSS,Closeness,0.6418700087637501,0.0,0.0,0.010354223433242507,0.15994550408719346
MCSS,CI (l=2),0.6222098169353666,0.0,0.0,0.008719346049046322,0.11553133514986376
MCSS,SD_ego (r=1),0.10725618913926778,2.53486120022598e-94,0.0,0.019618528610354225,0.10299727520435967
MCSS,FwLTR_struct,0.5239830123930448,0.0,0.0,0.018528610354223433,0.11144414168937329
MCSS,BPI-DRI,0.10586688411071361,6.247375262325894e-92,0.0,0.04141689373297003,0.09318801089918258
MCSS,LocFiedler (k=1),-0.20669521114941047,0.0,0.04904632152588557,0.14986376021798364,0.20953678474114443
MCSS,GlobFiedlerComp,0.4066040698663103,0.0,0.0,0.008174386920980926,0.09645776566757493
MCSS,LocSpecRadius (k=1),0.38486310340862895,0.0,0.0,0.009264305177111716,0.10435967302452316
MCSS,PPR-API,0.5482972059165031,0.0,0.0,0.017438692098092644,0.11525885558583106
MCSS,WMFS_Simple,0.4014352815424825,0.0,0.0,0.009264305177111716,0.11008174386920981
MCSS,WMFS_Advanced,0.590194647287006,0.0,0.0,0.009264305177111716,0.12752043596730245
HNR_k,Degree (Out),-0.4544288039210132,0.0,0.0,0.0,0.0
HNR_k,K-Core,-0.43926075221034694,0.0,0.0,0.0,0.0
HNR_k,Eigenvector,-0.27779859163073567,0.0,0.0,0.0,0.0
HNR_k,Closeness,-0.2700202514781599,0.0,0.0,0.0,0.0
HNR_k,CI (l=2),-0.36268903624496324,0.0,0.0,0.0,0.0
HNR_k,SD_ego (r=1),-0.13007203965647768,3.6115495578018544e-138,0.0,0.0,0.0005449591280653951
HNR_k,FwLTR_struct,-0.22270722504854526,0.0,0.0,0.0,0.0
HNR_k,BPI-DRI,-0.12632767988047972,2.2235377812155893e-130,0.0,0.0010899182561307902,0.0005449591280653951
HNR_k,LocFiedler (k=1),0.15506000379525509,3.38558486067006e-196,0.6457765667574932,0.6256130790190736,0.632425068119891
HNR_k,GlobFiedlerComp,-0.4169768098967866,0.0,0.0,0.0,0.0
HNR_k,LocSpecRadius (k=1),-0.44364110140338875,0.0,0.0,0.0,0.0
HNR_k,PPR-API,-0.22171615903637995,0.0,0.0,0.0,0.0
HNR_k,WMFS_Simple,-0.445788432901314,0.0,0.0,0.0,0.0
HNR_k,WMFS_Advanced,-0.3909728824027632,0.0,0.0,0.0,0.0
